gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Cluster
Female,0,No,1,No,No,DSL,Month-to-month,25,Yes,1
Male,0,No,41,Yes,No,DSL,One year,25,No,1
Female,0,Yes,52,Yes,No,DSL,Month-to-month,19,No,1
Female,0,No,1,Yes,No,DSL,One year,76,Yes,0
Male,0,No,67,Yes,No,Fiber optic,Month-to-month,51,No,2
Female,1,No,68,Yes,Yes,Fiber optic,Month-to-month,90,Yes,3
Female,0,Yes,23,Yes,Yes,Fiber optic,Month-to-month,77,No,0
Male,0,Yes,72,Yes,No,DSL,Month-to-month,72,No,2
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,104,Yes,2
Male,0,No,1,Yes,No,DSL,One year,19,Yes,1
Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,1
Male,0,Yes,34,Yes,No,DSL,Two year,84,No,2
Male,1,Yes,28,Yes,Yes,Fiber optic,One year,51,No,3
Female,1,No,18,Yes,Yes,Fiber optic,Month-to-month,85,Yes,3
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,20,No,1
Female,1,No,11,Yes,Yes,Fiber optic,Two year,95,Yes,3
Male,0,No,11,Yes,No,DSL,One year,54,Yes,0
Male,0,Yes,1,Yes,Yes,Fiber optic,Two year,70,Yes,0
Female,0,Yes,37,Yes,No,DSL,Month-to-month,89,No,2
Male,0,Yes,22,Yes,No,Fiber optic,Month-to-month,89,Yes,0
Female,0,No,1,Yes,No,DSL,Month-to-month,70,No,0
Female,0,Yes,1,Yes,No,DSL,One year,19,No,1
Male,0,Yes,46,Yes,No,DSL,Month-to-month,80,No,2
Female,0,No,51,Yes,Yes,DSL,Two year,107,No,2
Female,0,No,41,Yes,No,DSL,Month-to-month,104,No,2
Female,0,No,5,Yes,No,DSL,Month-to-month,68,Yes,0
Female,0,No,45,Yes,Yes,Fiber optic,Month-to-month,89,Yes,2
Male,0,Yes,29,Yes,No,DSL,Month-to-month,60,No,1
Female,1,No,15,Yes,Yes,DSL,Two year,92,No,3
Male,0,No,72,No,No,DSL,Month-to-month,64,No,2
Male,0,No,50,Yes,Yes,Fiber optic,Two year,104,No,2
Male,0,Yes,27,Yes,No,Fiber optic,Month-to-month,21,No,1
Male,0,No,72,Yes,No,DSL,One year,85,No,2
Female,0,Yes,51,Yes,No,DSL,Month-to-month,70,No,2
Female,0,No,60,Yes,No,DSL,Month-to-month,94,No,2
